Country Name,Country Code,Year,Value
Afghanistan,AFG,2006,25893450
Afghanistan,AFG,2016,34656032
Albania,ALB,2006,2992547
Albania,ALB,2016,2876101
Algeria,DZA,2006,33777915
Algeria,DZA,2016,40606052
American Samoa,ASM,2006,58650
American Samoa,ASM,2016,55599
Andorra,AND,2006,80991
Andorra,AND,2016,77281
Angola,AGO,2006,20262399
Angola,AGO,2016,28813463
Antigua and Barbuda,ATG,2006,90301
Antigua and Barbuda,ATG,2016,100963
Argentina,ARG,2006,39558890
Argentina,ARG,2016,43847430
Armenia,ARM,2006,2958500
Armenia,ARM,2016,2924816
Aruba,ABW,2006,100832
Aruba,ABW,2016,104822
Australia,AUS,2006,20697900
Australia,AUS,2016,24127159
Austria,AUT,2006,8268641
Austria,AUT,2016,8747358
Azerbaijan,AZE,2006,8484550
Azerbaijan,AZE,2016,9762274
"Bahamas, The",BHS,2006,335830
"Bahamas, The",BHS,2016,391232
Bahrain,BHR,2006,958414
Bahrain,BHR,2016,1425171
Bangladesh,BGD,2006,145368004
Bangladesh,BGD,2016,162951560
Barbados,BRB,2006,275039
Barbados,BRB,2016,284996
Belarus,BLR,2006,9604924
Belarus,BLR,2016,9507120
Belgium,BEL,2006,10547958
Belgium,BEL,2016,11348159
Belize,BLZ,2006,290747
Belize,BLZ,2016,366954
Benin,BEN,2006,8216896
Benin,BEN,2016,10872298
Bermuda,BMU,2006,64523
Bermuda,BMU,2016,65331
Bhutan,BTN,2006,672228
Bhutan,BTN,2016,797765
Bolivia,BOL,2006,9283334
Bolivia,BOL,2016,10887882
Bosnia and Herzegovina,BIH,2006,3779468
Bosnia and Herzegovina,BIH,2016,3516816
Botswana,BWA,2006,1884238
Botswana,BWA,2016,2250260
Brazil,BRA,2006,189012412
Brazil,BRA,2016,207652865
British Virgin Islands,VGB,2006,23905
British Virgin Islands,VGB,2016,30661
Brunei Darussalam,BRN,2006,370250
Brunei Darussalam,BRN,2016,423196
Bulgaria,BGR,2006,7601022
Bulgaria,BGR,2016,7127822
Burkina Faso,BFA,2006,13829177
Burkina Faso,BFA,2016,18646433
Burundi,BDI,2006,7675338
Burundi,BDI,2016,10524117
Cabo Verde,CPV,2006,480795
Cabo Verde,CPV,2016,539560
Cambodia,KHM,2006,13474489
Cambodia,KHM,2016,15762370
Cameroon,CMR,2006,17899562
Cameroon,CMR,2016,23439189
Canada,CAN,2006,32570505
Canada,CAN,2016,36286425
Cayman Islands,CYM,2006,50031
Cayman Islands,CYM,2016,60765
Central African Republic,CAF,2006,4201758
Central African Republic,CAF,2016,4594621
Chad,TCD,2006,10421597
Chad,TCD,2016,14452543
Channel Islands,CHI,2006,155411
Channel Islands,CHI,2016,164541
Chile,CHL,2006,16319792
Chile,CHL,2016,17909754
China,CHN,2006,1311020000
China,CHN,2016,1378665000
Colombia,COL,2006,43835722
Colombia,COL,2016,48653419
Comoros,COM,2006,626425
Comoros,COM,2016,795601
"Congo, Dem. Rep.",COD,2006,56543011
"Congo, Dem. Rep.",COD,2016,78736153
"Congo, Rep.",COG,2006,3842365
"Congo, Rep.",COG,2016,5125821
Costa Rica,CRI,2006,4308794
Costa Rica,CRI,2016,4857274
Cote d'Ivoire,CIV,2006,18699435
Cote d'Ivoire,CIV,2016,23695919
Croatia,HRV,2006,4440000
Croatia,HRV,2016,4170600
Cuba,CUB,2006,11296233
Cuba,CUB,2016,11475982
Curacao,CUW,2006,141239
Curacao,CUW,2016,159999
Cyprus,CYP,2006,1045509
Cyprus,CYP,2016,1170125
Czech Republic,CZE,2006,10238905
Czech Republic,CZE,2016,10561633
Denmark,DNK,2006,5437272
Denmark,DNK,2016,5731118
Djibouti,DJI,2006,796208
Djibouti,DJI,2016,942333
Dominica,DMA,2006,70807
Dominica,DMA,2016,73543
Dominican Republic,DOM,2006,9371338
Dominican Republic,DOM,2016,10648791
Ecuador,ECU,2006,13967480
Ecuador,ECU,2016,16385068
"Egypt, Arab Rep.",EGY,2006,78159048
"Egypt, Arab Rep.",EGY,2016,95688681
El Salvador,SLV,2006,6056478
El Salvador,SLV,2016,6344722
Equatorial Guinea,GNQ,2006,792217
Equatorial Guinea,GNQ,2016,1221490
Eritrea,ERI,2006,4066648
Estonia,EST,2006,1346810
Estonia,EST,2016,1316481
Ethiopia,ETH,2006,78850689
Ethiopia,ETH,2016,102403196
Faroe Islands,FRO,2006,48383
Faroe Islands,FRO,2016,49117
Fiji,FJI,2006,827411
Fiji,FJI,2016,898760
Finland,FIN,2006,5266268
Finland,FIN,2016,5495096
France,FRA,2006,63621376
France,FRA,2016,66896109
French Polynesia,PYF,2006,257832
French Polynesia,PYF,2016,280208
Gabon,GAB,2006,1444844
Gabon,GAB,2016,1979786
"Gambia, The",GMB,2006,1491021
"Gambia, The",GMB,2016,2038501
Georgia,GEO,2006,4136000
Georgia,GEO,2016,3719300
Germany,DEU,2006,82376451
Germany,DEU,2016,82667685
Ghana,GHA,2006,22113425
Ghana,GHA,2016,28206728
Gibraltar,GIB,2006,32296
Gibraltar,GIB,2016,34408
Greece,GRC,2006,11020362
Greece,GRC,2016,10746740
Greenland,GRL,2006,56774
Greenland,GRL,2016,56186
Grenada,GRD,2006,103259
Grenada,GRD,2016,107317
Guam,GUM,2006,158648
Guam,GUM,2016,162896
Guatemala,GTM,2006,13397008
Guatemala,GTM,2016,16582469
Guinea,GIN,2006,9881428
Guinea,GIN,2016,12395924
Guinea-Bissau,GNB,2006,1412669
